0,1,2,3
LIABILITIES & EQUITY (Rs. crs),"Jun 30, 2020","Mar 31, 202","Jun 30, 20"
Financial Liabilities,,,
Debt Securities,778.6,777.6,1099.0
Borrowings (Other than Debt Securities),2334.6,2227.3,1955.1
Subordinated Liabilities,20.2,20.3,20.3
Other Financial liabilities,172.6,227.2,164.2
Total Financial Liabilities,3305.9,3252.4,3238.6
Non-Financial Liabilities,,,
Current Tax Liabilities (net),111.5,64.7,4.5
Provisions,2.3,2.8,0.6
Other Non-Financial liabilities,20.9,30.1,37.2
Total Non-Financial Liabilities,134.7,97.6,42.3
Equity,,,
Equity Share Capital,64.3,64.3,59.6
Other Equity,2631.1,2561.7,1903.5
Equity attributable to shareholders of the company,2695.4,2626.0,1963.1
Non-Controlling Interest,13,1.2,1.0
Total Equity,2696.7,2627.2,1964.1
Total Liabilities and Equity,6137.4,5977.2,5245.0
